text,label
Certification course in newcomers via Open University in networking,relevant
Tuition-free Ukrainian refugees via Microsoft in business,relevant
Mentorship program for Afghan refugees via Cisco in machine learning,relevant
Read our fundraising campaign,irrelevant
Watch highlights from branding kit,irrelevant
Download the volunteer dinner,irrelevant
Training program for refugees via LinkedIn in digital marketing,relevant
Download the newsletter,irrelevant
Hiring initiative for refugees via Coursera in networking,relevant
Hiring initiative for Syrian refugees via edX in machine learning,relevant
Tuition-free refugee women via Google in cybersecurity,relevant
See photos from photo gallery,irrelevant
Meet our newsletter,irrelevant
Refugee support for immigrants via edX in English language,relevant
Scholarship available for migrants via edX in technology,relevant
Coding bootcamp for migrants via LinkedIn in coding,relevant
Free access to refugee women via edX in networking,relevant
Mentorship program for Afghan refugees via Coursera in networking,relevant
Support our terms of service,irrelevant
Free access to Ukrainian refugees via Open University in finance,relevant
Apply now for Afghan refugees via Cisco in AI,relevant
Coding bootcamp for migrants via Cisco in cybersecurity,relevant
Skill development in refugee women via Upwork in cybersecurity,relevant
Online course in refugee women via Upwork in cybersecurity,relevant
Career coaching for immigrants via Open University in English language,relevant
Hiring initiative for migrants via LinkedIn in healthcare,relevant
Support our fundraising campaign,irrelevant
Online course in Ukrainian refugees via Open University in finance,relevant
Apply now for refugee women via Cisco in healthcare,relevant
Read our branding kit,irrelevant
Free access to newcomers via Khan Academy in AI,relevant
Meet our photo gallery,irrelevant
Celebrate with us at board of directors,irrelevant
Visit our page on privacy policy,irrelevant
Coding bootcamp for Ukrainian refugees via Google in technology,relevant
Read our executive team,irrelevant
Meet our photo gallery,irrelevant
Skill development in migrants via Open University in cybersecurity,relevant
Online course in displaced persons via Upwork in data science,relevant
Free access to refugee women via edX in English language,relevant
Support our terms of service,irrelevant
Apply now for Syrian refugees via edX in business,relevant
Free access to refugees via LinkedIn in healthcare,relevant
Mentorship program for refugee women via Google in English language,relevant
Meet our terms of service,irrelevant
Online course in Afghan refugees via Google in healthcare,relevant
Follow us on executive team,irrelevant
Read our newsletter,irrelevant
Scholarship available for refugees via Udemy in technology,relevant
Download the newsletter,irrelevant
Certification course in refugees via edX in coding,relevant
Remote internship in refugee women via Coursera in data science,relevant
Apply now for refugee women via Coursera in digital marketing,relevant
Remote internship in Ukrainian refugees via Amazon in cybersecurity,relevant
Read our terms of service,irrelevant
Scholarship available for migrants via edX in AI,relevant
Visit our page on annual report,irrelevant
Refugee support for refugees via Upwork in cybersecurity,relevant
Scholarship available for Ukrainian refugees via Udemy in machine learning,relevant
Scholarship available for newcomers via Udemy in machine learning,relevant
Apply now for Syrian refugees via Upwork in English language,relevant
Scholarship available for immigrants via Microsoft in data science,relevant
Support our photo gallery,irrelevant
Learn about annual report,irrelevant
Download the volunteer dinner,irrelevant
Scholarship available for newcomers via edX in cybersecurity,relevant
Job opportunity for displaced persons via UNHCR in coding,relevant
Training program for Syrian refugees via Khan Academy in English language,relevant
Visit our page on volunteer dinner,irrelevant
Training program for Ukrainian refugees via LinkedIn in English language,relevant
Coding bootcamp for migrants via UNHCR in coding,relevant
Job opportunity for Afghan refugees via Khan Academy in finance,relevant
Skill development in Afghan refugees via Khan Academy in finance,relevant
Follow us on fundraising campaign,irrelevant
Tuition-free newcomers via Cisco in AI,relevant
Certification course in newcomers via Open University in technology,relevant
Meet our terms of service,irrelevant
Hiring initiative for newcomers via edX in AI,relevant
Apply now for refugees via Cisco in cybersecurity,relevant
Scholarship available for refugee women via Google in business,relevant
Celebrate with us at branding kit,irrelevant
Tuition-free immigrants via Upwork in technology,relevant
Watch highlights from volunteer dinner,irrelevant
Support our privacy policy,irrelevant
Meet our annual report,irrelevant
Mentorship program for refugee women via Google in coding,relevant
See photos from annual report,irrelevant
Training program for Ukrainian refugees via Microsoft in machine learning,relevant
See photos from board of directors,irrelevant
Skill development in Ukrainian refugees via Amazon in networking,relevant
Certification course in refugee women via UNHCR in machine learning,relevant
Job opportunity for displaced persons via LinkedIn in technology,relevant
Certification course in asylum seekers via edX in data science,relevant
Support our photo gallery,irrelevant
Apply now for newcomers via LinkedIn in machine learning,relevant
Follow us on board of directors,irrelevant
Employment assistance in Syrian refugees via Upwork in networking,relevant
Career coaching for Ukrainian refugees via Google in coding,relevant
Coding bootcamp for refugees via LinkedIn in finance,relevant
Coding bootcamp for Syrian refugees via Khan Academy in networking,relevant
Refugee support for refugees via Udemy in coding,relevant
Watch highlights from board of directors,irrelevant
See photos from annual report,irrelevant
Download the terms of service,irrelevant
Certification course in asylum seekers via Udemy in technology,relevant
Celebrate with us at branding kit,irrelevant
Employment assistance in displaced persons via LinkedIn in networking,relevant
Celebrate with us at board of directors,irrelevant
See photos from photo gallery,irrelevant
Celebrate with us at privacy policy,irrelevant
Scholarship available for refugee women via Upwork in AI,relevant
Refugee support for Ukrainian refugees via Open University in digital marketing,relevant
Free access to Ukrainian refugees via Khan Academy in technology,relevant
Training program for displaced persons via Amazon in data science,relevant
Remote internship in newcomers via edX in data science,relevant
Celebrate with us at photo gallery,irrelevant
Online course in Afghan refugees via Microsoft in digital marketing,relevant
Refugee support for migrants via Google in business,relevant
Tuition-free immigrants via LinkedIn in cybersecurity,relevant
Free access to refugees via Open University in digital marketing,relevant
Online course in displaced persons via Coursera in cybersecurity,relevant
Celebrate with us at privacy policy,irrelevant
Read our newsletter,irrelevant
Download the volunteer dinner,irrelevant
Support our terms of service,irrelevant
Read our annual report,irrelevant
Celebrate with us at newsletter,irrelevant
Tuition-free newcomers via Amazon in networking,relevant
Online course in refugees via Upwork in cybersecurity,relevant
Celebrate with us at board of directors,irrelevant
Online course in Syrian refugees via Amazon in technology,relevant
Celebrate with us at board of directors,irrelevant
Training program for refugee women via UNHCR in machine learning,relevant
Remote internship in Ukrainian refugees via Open University in cybersecurity,relevant
Skill development in Syrian refugees via LinkedIn in healthcare,relevant
Watch highlights from privacy policy,irrelevant
Download the branding kit,irrelevant
See photos from terms of service,irrelevant
Support our photo gallery,irrelevant
Apply now for migrants via Upwork in finance,relevant
Certification course in refugee women via Microsoft in coding,relevant
Follow us on board of directors,irrelevant
Learn about executive team,irrelevant
Watch highlights from terms of service,irrelevant
Employment assistance in asylum seekers via LinkedIn in healthcare,relevant
Hiring initiative for Ukrainian refugees via Khan Academy in finance,relevant
Training program for displaced persons via Cisco in English language,relevant
Free access to Afghan refugees via Upwork in machine learning,relevant
Career coaching for refugees via Cisco in digital marketing,relevant
Skill development in displaced persons via Udemy in finance,relevant
Career coaching for newcomers via Cisco in AI,relevant
Visit our page on newsletter,irrelevant
Support our annual report,irrelevant
Certification course in refugees via Khan Academy in AI,relevant
